Name,CPU,CPU_Type ,CPU_GEN ,GPU ,"GPU_Type(builtin_0,separate_1)",GPU_Capacity ,Screen_Size,Screen_Resolution ,"RAM(DDR3,DDr4,DDR5) ",RAM_Capacity ,Hard 1,Hard 2,"Hard_Type (HDD,SSD,M.2)",Body_Type,Body_Status,Price
ASUS,i 3,U,7,intel UHDGraphics,0,4 GB,14.0,FHD,DDR4,4 GB,128 GB,0 GB,M.2,Aluminum,Very good,250
ACER,i 7,U,5,Geforce 840m,1,4 GB,14.0,FHD,DDR3,12 GB,256 GB,0 GB,M.2,Plastic,Not bad ,350
ACER,i 5,H,10,NNIDIA RTX 2060,1,6 GB,15.6,FHD,DDR4,8 GB,256 GB,0 GB,M.2,Plastic,Good,680
HP,i 7,H,10,GTX 1650 Ti,1,6 GB,15.6,4K,DDR4,16 GB,1024 GB,0 GB,M.2,Aluminum,Very good,925
HP,i 5,U,7,intel HDGraphics,0,4 GB,12.0,FHD,DDR3,8 GB,128 GB,0 GB,SSD,Plastic,Not bad ,270
HP,i 5,U,10,MX 110,1,4 GB,15.6,FHD,DDR4,8 GB,512 GB,0 GB,SSD,Aluminum,Very good,440
HP,i 5,U,8,intel HDGraphics,0,4 GB,14.0,FHD,DDR3,8 GB,256 GB,0 GB,SSD,Aluminum,Not bad ,375
SAMSUNG,i 5,M,2,intel HDGraphics,0,2 GB,15.6,HD,DDR3,4 GB,512 GB,0 GB,HDD,Plastic,Bad,115
HP,i 7,U,8,intel UHDGraphics,0,8 GB,13.3,FHD,DDR4,16 GB,256 GB,0 GB,M.2,Aluminum,Very good,620
ASUS,i 5,U,4,intel HDGraphics,0,2 GB,15.6,FHD,DDR3,8 GB,128 GB,0 GB,M.2,Aluminum,Not bad ,280
HP,i 7,H,10,RTX 3060,1,6 GB,15.6,FHD,DDR4,16 GB,512 GB,0 GB,M.2,Aluminum,Very good,1000
DELL,i 5,U,5,NVIDIA 920M,1,3 GB,15.6,HD,DDR4,4 GB,1024 GB,0 GB,HDD,Plastic,Not bad ,245
